Unique Category ID,Parent Category Name,Georgian Parent Category Name,Parent Category Sort Order,Parent Category Type,Unique Child Category ID, Child Category Name,Georgian Child Category Name,Child Category Sort Order,Child Category Type,Type,"Exists Question
(must use unique # of reach question)",Questions to show if Exists (use # from exists question column),Unique Question Id,Question,Georgian Question,Question Sort Order,Validation Equation,Georgian Validation Equation,Evidence is Angle?,Evidence 1,Geogian Evidence 1,Evidence 2,Geogian Evidence 2,Evidence 3,Geogian Evidence 3,Venue,Domestic Legal Requirement,Convention Category,Reference,Reference Georgian,Help Text,Help Text Georgian
1,General,,1,common,,,,,,"b,d,h,m,s",,,1,Did construction of this place begin after 6 January 2014?,,1,,,,Date (yyyy-mm-dd),,,,,,,1,,,,,
1,General,,1,common,,,,,,"b,d,h,m,s",,,2,Did renovation of this place begin after 6 January 2014?,,2,,,,Date (yyyy-mm-dd),,,,,,,,,,,,
2,Accessibility Services,,2,common,,,,,,"b,d,h,m,s",,,3,The place has a sign indicating that it is accessible,,1,,,,,,,,,,,1,Physical environment/facilities,Article 39(12) of Accessibility Standards,,,
2,Accessibility Services,,2,common,,,,,,"b,d,h,m,s",,,4,The place has signs indicating possible barriers or dangerous areas for people with disabilities.,,2,,,,,,,,,,,1,Physical environment/facilities,Article 30(1) of Accessibility Standards,,,
2,Accessibility Services,,2,common,,,,,,"b,s",1,,5, Guide dog officially permitted to assist people who are blind or partially sighted,,3,,,,,,,,,,,,Physical environment/Facilities,,,,
2,Accessibility Services,,2,common,,,,,,"b,s",,1,6,Guide dog permitted in practice to assist people who are blind or partially sighted,,4,,,,,,,,,,,,Physical environment/Facilities,,,,
2,Accessibility Services,,2,common,,,,,,"b,d,h,m,s",2,,7, Designated support and assistance services are available for people with disabilities,,5,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,d,h,m,s",,2,8,Personal assistance is available,,6,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"d,h",,2,9,A sign language interpreter is available,,7,,,,,,,,,,,,Information and Communication,,,,
2,Accessibility Services,,2,common,,,,,,"b,d,h,s",,2,10,Tactile sign language interpretation is available,,8,,,,,,,,,,,,Information and Communication,,,,
