Parent Category Name,Georgian Parent Category Name,Parent Category Sort Order,Parent Category Is Common,Child Category Name,Georgian Child Category Name,Child Category Sort Order,Child Category Is Common,Type,Exists Question,Required for Accessibility Flag,Question,Georgian Question,Question Sort Order,Question Evidence,Geogian Question Evidence,Venue
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,"b,d,p,s",,,Special services available for people with disabilities,სპეციალური მომსახურები შეზღუდული შესაძლებლობი მქონე პირთათვის,1,,,
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,b,,1,Guide dog permitted to assist blind people,დაშვებულია გზამკვლევი ძაღლის დახმარება უსინათლოთათვის,2,,,
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,p,,,Adequate seating area for wheelchairs,ეტლისთვის გამოყოფილია შესაბამისი დასაჯდომი ადგილი,3,Area (sq m),ფართი (კვ.მ),
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,p,,,Adequate height of tables for wheelchairs,მაგიდის სიმაღლე ეტლის შესაბამისია,4,Height (m),სიმაღლე (მ),
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,s,,,Signs presented in adequate text size,ნიშნები წარმოდგენილია ადეკვატური ტექსტის ზომით,5,Text Size (pt),ტექსტის ზომა,
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,s,,,Sign text uses high contrast,ტექსტი გამოსახულია მაღალი კონტრასტით,6,Text Size (pt),ტექსტის ზომა,
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,"b,s",,,Signs on doors located directly above door handle,კარებზე ნიშნები განლაგებულია კარის სახელურის ზემოთ,7,,,
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,"b,s",,,Signs located at adequate height,ნიშნები განლაგებულია შესაბამის სიმაღლეზე,8,Height (m),სიმაღლე (მ),
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,s,,,Documents presented in adequate text size,დოკუმენტები წარმოდგენილია შესაბამისი ტექსტის ზომით,9,Text Size (pt),ტექსტის ზომა,
Accessibility Services,ხელმისაწვდომობის მომსახურება,1,1,,,,,b,,,Signs presented in Braille,ნიშნები წარმოდგენილია ბრაილის შრიფტით,10,,,
