Category Name,Category Sort,Venue Name,Venue Sort
Food and Drink,1,Cafe / bars,1
Food and Drink,1,Restaurants,2
Food and Drink,1,Fast food,3
Food and Drink,1,Market,4
Food and Drink,1,Grocery store,5
Food and Drink,1,Other food and drink,6
Financial Institutions and Services,2,Banks,1
Financial Institutions and Services,2,ATMs and pay boxes,2
Financial Institutions and Services,2,Currency exchange,3
Financial Institutions and Services,2,Other financial institutions and services,4
Stores and Services,3,Stores,1
Stores and Services,3,Services,2
Stores and Services,3,Other stores and services,3
Healthcare,4,Dentist,1
Healthcare,4,Hospital,2
Healthcare,4,Pharmacy,3
Healthcare,4,Other healthcare,4
Emergency,5,112,1
Emergency,5,Other emergency,2
Government,6,Ministries,1
Government,6,Courthouses,2
Government,6,Embassies,3
Government,6,City halls,4
Government,6,Prisons,5
Government,6,Police stations,6
Government,6,Other government,7
Public Services,7,Libraries,1
Public Services,7,Post-offices,2
Public Services,7,Revenue Services,3
Public Services,7,Justice House,4
Public Services,7,Legal aid offices,5
Public Services,7,"Shelters (e.g., for victims of domestic violence)",6
Public Services,7,Polling Stations,7
Public Services,7,Other public services,8
Organizations,8,Non-governmental organizations,1
Organizations,8,International organizations,2
Organizations,8,Other organizations,3
Places of Worship,9,Other places of worship,1
Lodging,10,Hotels,1
Lodging,10,Hostels,2
Lodging,10,Other lodging,3
Sports and Entertainment,11,Cinema / theaters,1
Sports and Entertainment,11,Casinos,2
Sports and Entertainment,11,Galleries,3
Sports and Entertainment,11,Clubs,4
Sports and Entertainment,11,Museums,5
Sports and Entertainment,11,Stadiums,6
Sports and Entertainment,11,Other sports and entertainment,7
Recreational Area,12,Beach,1
Recreational Area,12,Gardens / parks,2
Recreational Area,12,Amusement parks,3
Recreational Area,12,Zoo,4
Recreational Area,12,Museums,5
Recreational Area,12,Historical landmarks (does not include places of worship),6
Recreational Area,12,Other recreational area,7
Education,13,Kindergartens,1
Education,13,Schools,2
Education,13,Colleges,3
Education,13,Universities,4
Education,13,Other education,5
Transportation,14,Public buses,1
Transportation,14,Metro,2
Transportation,14,Trains,3
Transportation,14,Airports,4
Transportation,14,Other transportation,5
Pathways,15,Crosswalks,1
Pathways,15,Overpasses,2
Pathways,15,Underpasses,3
Pathways,15,Sidewalks,4
Pathways,15,Other pathways,5
