Category Name,Category Sort,Venue Name,Venue Sort
Food and Drink,1,Cafe / bars,1
Food and Drink,1,Restaurants,2
Food and Drink,1,Fast food,3
Food and Drink,1,Market,4
Food and Drink,1,Grocery store,5
Food and Drink,1,Other food and drink,6
Financial Institutions and Services,2,Banks,1
Financial Institutions and Services,2,ATMs and pay boxes,2
Financial Institutions and Services,2,Currency exchange,3
Financial Institutions and Services,2,Other financial institutions and services,4
Stores and Services,3,Stores,1
Stores and Services,3,Services,2
Stores and Services,3,Other stores and services,3
Healthcare,4,Dentist,1
Healthcare,4,Hospital,2
Healthcare,4,Pharmacy,3
Healthcare,4,Other healthcare,4
Emergency,5,112,1
Emergency,5,Other emergency,2
Government Buildings and Public Services,6,Ministries,1
Government Buildings and Public Services,6,Courthouses,2
Government Buildings and Public Services,6,Embassies,3
Government Buildings and Public Services,6,City halls,4
Government Buildings and Public Services,6,Prisons,5
Government Buildings and Public Services,6,Police stations,6
Government Buildings and Public Services,6,Libraries,7
Government Buildings and Public Services,6,Post-offices,8
Government Buildings and Public Services,6,Revenue Services,9
Government Buildings and Public Services,6,Justice House,10
Government Buildings and Public Services,6,Legal aid offices,11
Government Buildings and Public Services,6,"Shelters (e.g., for victims of domestic violence)",12
Government Buildings and Public Services,6,Polling Stations,13
Government Buildings and Public Services,6,Other government buildings and public services,14
Organizations,7,Non-governmental organizations,1
Organizations,7,International organizations,2
Organizations,7,Other organizations,3
Places of Worship,8,Georgian Orthodox church,1
Places of Worship,8,Mosque,2
Places of Worship,8,Armenian Apostolic church,3
Places of Worship,8,Roman Catholic church,4
Places of Worship,8,Synagogue,5
Places of Worship,8,Other places of worship,6
Lodging,9,Hotels,1
Lodging,9,Hostels,2
Lodging,9,Other lodging,3
Sports and Recreation,10,Stadiums,1
Sports and Recreation,10,Cinema / theaters,2
Sports and Recreation,10,Casinos,3
Sports and Recreation,10,Clubs,4
Sports and Recreation,10,Museums,5
Sports and Recreation,10,Historical landmarks (does not include places of worship),6
Sports and Recreation,10,Galleries,7
Sports and Recreation,10,Gardens / parks,8
Sports and Recreation,10,Beaches,9
Sports and Recreation,10,Amusement parks,10
Sports and Recreation,10,Zoos,11
Sports and Recreation,10,Pools,12
Sports and Recreation,10,Other sports and recreation,13
Education,12,Kindergartens,1
Education,11,Schools,2
Education,11,Colleges,3
Education,11,Universities,4
Education,11,Other education,5
Transportation,12,Public buses,1
Transportation,12,Metro,2
Transportation,12,Trains,3
Transportation,12,Airports,4
Transportation,12,Other transportation,5
Pathways,13,Crosswalks,1
Pathways,13,Overpasses,2
Pathways,13,Underpasses,3
Pathways,13,Sidewalks,4
Pathways,13,Other pathways,5
